StudentID	HW-1	HW-2	HW-3	HW-4	HW-5	HW-6	HW-7	HW-8	HW-9	HW-10
845560	75	82	81	76	72	84	88	79	78	95
623908	89	88	99	87	91	96	98	99	100	96
573134	84	90	79	87	62	86	84	78	97	88
372078	82	82	80	83	82	94	88	96	96	93
955198	70	71	73	71	66	65	67	74	70	72
839856	83	92	72	87	83	95	100	88	96	84
593735	87	78	78	74	68	100	95	72	90	98
720962	75	85	75	92	76	93	88	95	83	96
155827	93	97	69	73	70	85	99	66	97	95
557656	74	86	75	94	91	93	83	70	79	92
751272	82	79	87	80	77	82	70	80	82	80
264500	73	99	83	85	62	100	88	93	100	92
395862	92	81	73	91	75	100	90	82	100	96
353527	97	72	72	73	67	82	82	82	88	80
466308	75	81	76	92	83	84	97	91	79	100
546356	100	93	83	100	100	85	100	100	87	80
486784	69	97	76	76	98	91	83	70	92	93
227559	86	86	84	73	96	90	86	88	85	98
684046	100	87	81	86	96	84	83	90	88	98
135968	91	93	77	79	66	95	96	77	95	85
161674	67	78	76	54	79	77	65	74	77	85
163270	86	99	82	96	86	87	80	75	79	91
956435	65	77	60	65	64	66	63	45	67	86
590423	75	88	87	83	67	92	98	85	85	96
929979	100	100	89	98	93	92	96	94	99	98
410521	84	93	72	80	78	83	86	66	88	89
325504	79	89	75	79	79	83	84	80	83	84
516787	74	83	79	96	84	81	98	75	87	92
866600	98	98	85	77	65	90	88	77	82	80
484647	72	99	72	82	75	82	90	85	91	84
396007	66	76	74	78	76	90	98	82	81	95
497732	69	80	73	80	75	78	67	82	87	89
696247	100	85	95	78	89	86	98	74	98	96
693913	72	80	89	82	67	83	90	89	96	91
951339	76	84	68	90	97	78	87	98	82	89
439601	94	85	71	89	93	90	81	72	91	86
332325	86	98	89	98	1	89	87	94	93	99
616144	73	70	73	100	91	80	86	98	98	96
890566	77	88	80	89	69	92	83	85	86	97
573069	80	81	78	80	77	88	88	70	78	76
201132	73	72	70	91	64	86	87	83	100	89
316359	100	86	72	90	80	89	84	65	85	85
743904	69	78	71	84	74	94	86	97	90	97
527655	72	99	90	95	74	79	87	70	92	100
228210	75	70	80	78	88	85	97	90	89	100
481600	88	84	76	79	75	81	92	72	80	89
432948	99	77	88	91	99	88	82	72	87	81
463945	72	86	73	67	75	78	66	76	69	67
242532	91	86	88	93	82	87	95	62	91	87
579397	67	95	80	87	87	95	85	97	78	94
536717	100	87	89	94	100	100	96	82	90	87
855185	83	94	71	82	77	100	98	81	83	88
882512	67	98	88	93	69	100	87	100	87	98
790673	78	77	85	90	74	83	92	61	93	91
807446	79	72	90	88	72	85	95	89	78	88
677975	99	84	89	94	91	93	85	98	88	83
443161	81	80	76	75	97	91	86	78	93	86
174129	93	86	90	94	73	98	81	84	79	88
778448	88	97	87	89	78	90	100	96	90	96
257508	66	78	81	80	84	99	91	99	99	81
454228	94	99	86	73	74	90	100	72	87	88
757677	82	89	72	75	84	87	99	76	95	88
779920	74	77	76	73	81	76	83	60	83	83
573223	74	91	71	84	88	78	89	94	99	80
262007	78	70	70	73	77	83	85	95	91	83
886886	74	71	86	95	61	91	89	92	95	98
737902	89	83	79	74	78	92	93	80	82	93
765215	84	93	89	85	65	86	81	95	93	98
453160	73	86	76	93	75	88	93	62	98	89
383822	92	74	75	90	88	97	100	60	91	97
884908	66	89	68	92	72	98	81	71	89	84
385248	98	93	75	76	69	78	93	94	83	97
396842	93	72	75	93	68	100	86	94	91	83
974428	74	70	64	67	74	67	80	65	70	60
804512	72	78	80	94	73	82	91	73	82	86
758796	90	98	76	80	82	94	97	71	99	86
642688	97	81	72	80	71	90	100	78	82	87
589968	69	75	76	66	65	67	78	60	72	71
921620	81	75	78	92	66	79	80	90	84	94
865098	95	94	69	76	64	88	100	100	83	94
248076	79	72	77	86	91	94	97	87	85	80
138230	81	97	69	86	76	93	81	96	82	95
230433	93	98	90	89	82	98	88	97	100	90
897320	96	91	90	95	91	92	87	79	82	100
970827	77	100	74	90	98	94	96	79	99	96
145330	77	88	73	78	83	82	90	60	92	83
960593	68	92	77	75	87	92	100	88	90	88
362345	99	70	75	91	80	89	99	80	86	91
723931	90	95	76	75	78	92	85	60	80	85
417285	80	88	90	77	86	87	97	94	82	93
759133	98	80	72	100	99	95	97	89	99	99
699312	69	94	75	83	79	91	82	67	90	96
717528	93	79	90	85	84	87	99	87	98	99
432448	88	76	73	96	89	79	95	73	100	96
170885	76	84	89	96	82	90	83	62	82	91
830129	82	70	81	76	63	66	84	64	67	67
896861	82	83	73	84	70	89	100	76	100	85
642113	97	81	88	91	94	83	98	96	97	90
801760	80	75	72	79	98	93	99	99	82	82
