Category: All categories

Month,Election: (United States)
2004-01,3
2004-02,4
2004-03,5
2004-04,3
2004-05,4
2004-06,3
2004-07,5
2004-08,5
2004-09,9
2004-10,22
2004-11,43
2004-12,3
2005-01,3
2005-02,2
2005-03,2
2005-04,3
2005-05,3
2005-06,2
2005-07,1
2005-08,1
2005-09,2
2005-10,3
2005-11,6
2005-12,2
2006-01,2
2006-02,2
2006-03,3
2006-04,3
2006-05,3
2006-06,3
2006-07,2
2006-08,2
2006-09,4
2006-10,5
2006-11,19
2006-12,2
2007-01,1
2007-02,2
2007-03,2
2007-04,2
2007-05,2
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,3
2007-11,5
2007-12,2
2008-01,5
2008-02,6
2008-03,4
2008-04,3
2008-05,3
2008-06,3
2008-07,2
2008-08,3
2008-09,7
2008-10,16
2008-11,31
2008-12,2
2009-01,2
2009-02,2
2009-03,2
2009-04,3
2009-05,3
2009-06,3
2009-07,1
2009-08,1
2009-09,2
2009-10,2
2009-11,5
2009-12,2
2010-01,3
2010-02,2
2010-03,2
2010-04,2
2010-05,4
2010-06,3
2010-07,2
2010-08,3
2010-09,3
2010-10,6
2010-11,16
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,3
2011-05,2
2011-06,1
2011-07,1
2011-08,2
2011-09,2
2011-10,2
2011-11,4
2011-12,2
2012-01,2
2012-02,2
2012-03,3
2012-04,2
2012-05,3
2012-06,3
2012-07,2
2012-08,3
2012-09,4
2012-10,10
2012-11,40
2012-12,2
2013-01,1
2013-02,2
2013-03,2
2013-04,2
2013-05,2
2013-06,1
2013-07,1
2013-08,1
2013-09,2
2013-10,2
2013-11,4
2013-12,1
2014-01,1
2014-02,2
2014-03,2
2014-04,2
2014-05,4
2014-06,2
2014-07,1
2014-08,2
2014-09,2
2014-10,4
2014-11,13
2014-12,2
2015-01,1
2015-02,2
2015-03,3
2015-04,2
2015-05,2
2015-06,1
2015-07,1
2015-08,2
2015-09,2
2015-10,3
2015-11,5
2015-12,2
2016-01,2
2016-02,6
2016-03,12
2016-04,7
2016-05,7
2016-06,4
2016-07,3
2016-08,4
2016-09,5
2016-10,11
2016-11,100
2016-12,6
2017-01,3
2017-02,3
2017-03,3
2017-04,5
2017-05,4
2017-06,4
2017-07,1
2017-08,2
2017-09,2
2017-10,2
2017-11,6
2017-12,3
2018-01,2
2018-02,2
2018-03,4
2018-04,3
2018-05,4
2018-06,4
2018-07,3
2018-08,5
2018-09,3
2018-10,6
2018-11,33
2018-12,2
2019-01,2
2019-02,3
2019-03,2
2019-04,4
2019-05,4
2019-06,2
2019-07,1
2019-08,2
2019-09,3
2019-10,4
2019-11,8
2019-12,3
2020-01,2
2020-02,4
2020-03,6
2020-04,3
2020-05,3
2020-06,5
2020-07,4
2020-08,6
2020-09,6
2020-10,13
