Category: All categories

Month,Election: (United States),Donald Trump: (United States),Joe Biden: (United States)
2004-01,3,1,<1
2004-02,4,1,<1
2004-03,5,1,<1
2004-04,3,1,<1
2004-05,4,<1,<1
2004-06,3,<1,<1
2004-07,5,<1,<1
2004-08,5,<1,<1
2004-09,9,1,<1
2004-10,22,1,<1
2004-11,43,1,<1
2004-12,3,1,<1
2005-01,3,1,<1
2005-02,2,1,<1
2005-03,2,<1,<1
2005-04,3,<1,<1
2005-05,3,1,<1
2005-06,2,<1,<1
2005-07,1,<1,<1
2005-08,1,<1,<1
2005-09,2,<1,<1
2005-10,3,<1,<1
2005-11,6,<1,<1
2005-12,2,<1,<1
2006-01,2,<1,<1
2006-02,2,<1,<1
2006-03,3,1,<1
2006-04,3,<1,<1
2006-05,3,<1,<1
2006-06,3,<1,<1
2006-07,2,<1,<1
2006-08,2,<1,<1
2006-09,4,<1,<1
2006-10,5,<1,<1
2006-11,19,<1,<1
2006-12,2,1,<1
2007-01,1,1,<1
2007-02,2,<1,<1
2007-03,2,1,<1
2007-04,2,1,<1
2007-05,2,<1,<1
2007-06,1,<1,<1
2007-07,1,<1,<1
2007-08,1,<1,<1
2007-09,2,<1,<1
2007-10,3,<1,<1
2007-11,5,<1,<1
2007-12,2,<1,<1
2008-01,5,<1,<1
2008-02,6,<1,<1
2008-03,4,<1,<1
2008-04,3,<1,<1
2008-05,3,<1,<1
2008-06,3,<1,<1
2008-07,2,<1,<1
2008-08,3,<1,3
2008-09,7,<1,2
2008-10,16,<1,4
2008-11,31,<1,1
2008-12,2,<1,<1
2009-01,2,<1,1
2009-02,2,<1,<1
2009-03,2,<1,<1
2009-04,3,<1,<1
2009-05,3,<1,<1
2009-06,3,<1,<1
2009-07,1,<1,<1
2009-08,1,<1,<1
2009-09,2,<1,<1
2009-10,2,<1,<1
2009-11,5,<1,<1
2009-12,2,<1,<1
2010-01,3,<1,<1
2010-02,2,<1,<1
2010-03,2,<1,1
2010-04,2,<1,<1
2010-05,4,<1,<1
2010-06,3,<1,<1
2010-07,2,<1,<1
2010-08,3,<1,<1
2010-09,3,<1,<1
2010-10,6,<1,<1
2010-11,16,<1,<1
2010-12,2,<1,<1
2011-01,2,<1,<1
2011-02,2,1,<1
2011-03,2,1,<1
2011-04,3,2,<1
2011-05,2,2,<1
2011-06,1,<1,<1
2011-07,1,<1,<1
2011-08,2,<1,<1
2011-09,2,<1,<1
2011-10,2,<1,<1
2011-11,4,<1,<1
2011-12,2,1,<1
2012-01,2,<1,<1
2012-02,2,<1,<1
2012-03,3,<1,<1
2012-04,2,<1,<1
2012-05,3,<1,<1
2012-06,3,<1,<1
2012-07,2,<1,<1
2012-08,3,<1,<1
2012-09,4,<1,1
2012-10,10,2,2
2012-11,40,1,1
2012-12,2,<1,<1
2013-01,1,<1,<1
2013-02,2,<1,<1
2013-03,2,<1,<1
2013-04,2,<1,<1
2013-05,2,<1,<1
2013-06,1,<1,<1
2013-07,1,<1,<1
2013-08,1,<1,<1
2013-09,2,<1,<1
2013-10,2,<1,<1
2013-11,4,<1,<1
2013-12,1,<1,<1
2014-01,1,<1,<1
2014-02,2,<1,<1
2014-03,2,<1,<1
2014-04,2,<1,<1
2014-05,4,<1,<1
2014-06,2,<1,<1
2014-07,1,<1,<1
2014-08,2,<1,<1
2014-09,2,<1,<1
2014-10,4,<1,<1
2014-11,13,<1,<1
2014-12,2,<1,<1
2015-01,1,<1,<1
2015-02,2,<1,<1
2015-03,3,<1,<1
2015-04,2,<1,<1
2015-05,2,<1,<1
2015-06,1,3,1
2015-07,1,7,<1
2015-08,2,10,1
2015-09,2,7,1
2015-10,3,5,1
2015-11,5,6,<1
2015-12,2,9,<1
2016-01,2,10,<1
2016-02,6,17,<1
2016-03,12,28,<1
2016-04,7,14,<1
2016-05,7,16,<1
2016-06,4,15,<1
2016-07,3,24,<1
2016-08,4,22,<1
2016-09,5,21,<1
2016-10,11,44,<1
2016-11,100,70,2
2016-12,6,20,<1
2017-01,3,51,1
2017-02,3,38,<1
2017-03,3,24,<1
2017-04,5,18,<1
2017-05,4,23,<1
2017-06,4,20,<1
2017-07,1,19,<1
2017-08,2,22,<1
2017-09,2,16,<1
2017-10,2,18,<1
2017-11,6,15,1
2017-12,3,16,<1
2018-01,2,19,<1
2018-02,2,15,<1
2018-03,4,15,<1
2018-04,3,15,<1
2018-05,4,13,<1
2018-06,4,16,<1
2018-07,3,18,<1
2018-08,5,17,<1
2018-09,3,16,<1
2018-10,6,15,<1
2018-11,33,15,<1
2018-12,2,16,<1
2019-01,2,21,<1
2019-02,3,15,<1
2019-03,2,12,1
2019-04,4,11,2
2019-05,4,11,1
2019-06,2,13,1
2019-07,1,15,1
2019-08,2,14,1
2019-09,3,15,2
2019-10,4,18,1
2019-11,8,16,1
2019-12,3,22,1
2020-01,2,18,1
2020-02,4,19,2
2020-03,6,28,7
2020-04,3,21,4
2020-05,3,17,4
2020-06,5,32,4
2020-07,4,24,5
2020-08,6,27,11
2020-09,6,27,11
2020-10,13,50,18
